,user_id,gender,age,device,ad_1,click_1,watch_1,ad_2,click_2,watch_2,ad_3,click_3,watch_3,ad_4,click_4,watch_4,ad_5,click_5,watch_5,ad_6,click_6,watch_6
0,,f,26,blackberry,a118,,9,a3,,14,a11,,9,,,,,,,,,
1,1,female,26,ios,a2,,6,a85,,9,a108,,12,a39,1.0,10.0,a95,1.0,11.0,a75,1.0,4.0
2,2,f,25,windows phone,a95,,10,a26,1.0,7,a105,,7,,,,,,,,,
3,3,f,25,android,a6,,9,a43,,6,a32,1.0,6,,,,,,,,,
4,4,female,27,ios,a39,,7,a1,,9,a24,,9,a76,,8.0,a90,1.0,2.0,a26,,11.0
5,5,male,26,ios,a95,,11,a7,,8,a49,,16,a82,,10.0,a47,,10.0,a80,,7.0
6,6,male,24,windows phone,a101,,7,a81,,15,a11,,8,a96,1.0,13.0,a62,,11.0,a39,,15.0
7,7,,23,ios,a64,,11,a4,,13,a12,,9,a23,,11.0,a94,,3.0,a115,,11.0
8,8,,21,tizen,a106,,12,a63,,11,a114,,9,a0,1.0,4.0,a84,,4.0,a111,,12.0
9,9,,26,ios,a45,,11,a107,,7,a76,,14,a78,1.0,10.0,a73,,16.0,a34,,10.0
10,10,male,27,ios,a1,,8,a104,,9,a115,,7,,,,,,,,,
11,11,m,26,ios,a29,1.0,8,a106,,6,a35,,12,,,,,,,,,
12,12,male,21,ios,a89,,15,a12,,11,a62,,7,,,,,,,,,
13,13,male,27,android,a0,,6,a24,,12,a36,,14,,,,,,,,,
14,14,f,21,windows phone,a59,,6,a91,,13,a71,,10,a110,,3.0,a62,,8.0,a106,,9.0
15,15,male,26,blackberry,a54,1.0,8,a99,,13,a26,1.0,12,,,,,,,,,
16,16,f,20,linux,a56,,15,a76,,6,a114,1.0,10,a1,,13.0,a82,1.0,10.0,a8,,12.0
17,17,f,25,ios,a73,,10,a105,,11,a50,,12,a33,,6.0,a22,,14.0,a82,1.0,9.0
18,18,,24,ios,a10,,12,a61,,9,a82,,8,a94,1.0,11.0,a116,,15.0,a32,1.0,10.0
19,19,female,30,android,a58,,15,a116,1.0,7,a39,,7,a48,,10.0,a69,,12.0,a34,,9.0
20,20,male,26,samsung,a47,1.0,12,a86,,12,a33,,8,a6,,16.0,a50,,3.0,a68,,10.0
21,21,female,23,samsung,a115,,7,a58,,5,a33,,7,a96,,8.0,a15,,9.0,a48,1.0,8.0
22,22,,19,ios,a99,1.0,6,a96,,14,a95,,8,,,,,,,,,
23,23,female,25,android,a109,,12,a3,,12,a99,,15,,,,,,,,,
24,24,male,28,ios,a54,,8,a84,1.0,13,a45,,10,,,,,,,,,
25,25,f,26,ios,a32,,8,a38,,9,a98,,10,a65,,8.0,a119,,13.0,a35,,10.0
26,26,f,23,tizen,a22,,8,a59,,12,a40,,8,a119,,5.0,a11,,13.0,a5,,8.0
27,27,female,24,ios,a33,,9,a69,,9,a109,1.0,12,,,,,,,,,
28,28,,26,android,a48,,13,a118,,9,a20,1.0,11,a67,,11.0,a1,,6.0,a37,,5.0
29,29,f,20,tizen,a50,,8,a3,1.0,5,a56,,4,,,,,,,,,
30,30,f,26,ios,a17,,12,a81,,16,a54,,10,a39,,13.0,a20,,9.0,a105,1.0,6.0
31,31,m,23,linux,a106,1.0,8,a7,,8,a81,,6,a86,,6.0,a63,,13.0,a0,,13.0
32,32,female,17,blackberry,a105,,8,a49,1.0,11,a82,1.0,9,a99,1.0,11.0,a35,,6.0,a30,,8.0
33,33,f,23,android,a72,,10,a17,,9,a68,,9,,,,,,,,,
34,34,m,29,samsung,a106,,11,a61,,14,a35,,7,a65,,7.0,a86,,13.0,a47,,12.0
35,35,f,21,android,a83,,6,a16,,12,a37,,7,,,,,,,,,
36,36,female,25,ios,a49,1.0,11,a0,1.0,13,a118,,4,,,,,,,,,
37,37,,27,blackberry,a7,,6,a84,1.0,7,a88,,7,,,,,,,,,
38,38,f,27,blackberry,a93,,6,a34,,13,a101,,5,a100,,14.0,a112,,12.0,a64,,9.0
39,39,m,26,ios,a11,,9,a6,1.0,8,a88,,4,a117,1.0,16.0,a4,1.0,10.0,a23,1.0,7.0
40,40,male,24,ios,a88,1.0,6,a113,,10,a20,,6,a72,,9.0,a102,,7.0,a6,,12.0
41,41,f,20,samsung,a55,,5,a51,1.0,5,a118,,7,,,,,,,,,
42,42,,25,windows phone,a114,,9,a34,,8,a58,,3,a6,,16.0,a69,1.0,11.0,a42,1.0,6.0
43,43,m,26,android,a17,,12,a57,,11,a64,,6,a54,,9.0,a101,,10.0,a110,,15.0
44,44,f,27,ios,a59,,13,a93,,6,a118,,7,a25,,8.0,a111,,11.0,a46,1.0,11.0
45,45,m,23,tizen,a92,,5,a22,,3,a33,,9,,,,,,,,,
46,46,female,27,samsung,a42,,9,a28,,12,a61,,7,,,,,,,,,
47,47,f,17,ios,a107,,12,a109,1.0,9,a35,1.0,9,,,,,,,,,
48,48,f,18,blackberry,a48,,9,a107,1.0,6,a16,,5,,,,,,,,,
49,49,f,23,android,a107,,9,a110,,12,a31,1.0,8,a63,1.0,7.0,a33,,11.0,a95,,14.0
50,50,male,26,android,a50,1.0,6,a26,,7,a43,,9,a118,1.0,6.0,a46,,9.0,a93,,15.0
